FID,site,lat,long,dem10,dem100,asp10,asp100,trasp10,trasp100,slp10,slp100,hli10,hli100,srad10,srad100,cti10,cti100
36,S-211-127,48.633316,-120.073628,1330.900024,1334.23999,77.1635971,84.7668991,0.160085,0.211598,16.4153996,13.0563002,0.496631,0.547249,1045280,1094250,5.3164501,7.5016899
37,S-133-082,48.577812,-120.127433,1127.390015,1116.650024,277.269989,286.1589966,0.69294,0.619333,29.3992004,21.9496002,0.923016,0.843161,956310,983485,4.6680198,5.00316
38,S-131-062,48.502509,-120.08785,1115.050049,1104,331.947998,340.7130127,0.235137,0.173597,21.8735008,26.7457008,0.620053,0.550123,836416,755311,4.3138399,4.0864801
39,S-131-060,48.699355,-120.104055,966.3850098,978.5709839,33.1535988,23.7255993,0.0007574,0.0029959,19.2056007,23.9130001,0.419724,0.394834,851594,777678,4.45576,6.4116802
40,S-131-056,48.587281,-120.135266,832.9849854,818.8599854,313.3710022,351.0559998,0.384058,0.110892,41.9557991,22.3980999,0.673376,0.525739,596337,764007,4.89396,4.9807601
41,S-130-076,48.602772,-120.080106,1016.960022,1008.070007,325.4649963,324.3359985,0.284717,0.293655,36.1948013,21.3286991,0.600815,0.660265,606845,816426,5.0998101,9.8305597
42,S-123-051,48.568454,-120.144397,1075,1077.800049,289.1950073,288.8479919,0.593447,0.596415,18.2978992,18.2952995,0.808714,0.809845,1008220,1010450,6.2995701,5.6065798
43,S-122-039,48.559857,-120.145861,1091.719971,1099.430054,288.95401,297.9219971,0.595511,0.517826,9.26404,13.9507999,0.739938,0.754342,1075570,1025820,5.21452,7.19174
44,S-122-038,48.78183,-120.10622,931.0319824,926.2800293,284.6040039,313.2929993,0.632464,0.384725,3.92977,4.7828498,0.69466,0.677044,1008800,995392,6.0792699,13.0001001
45,S-121-035,48.587164,-120.137574,834.5900269,846.5540161,34.6808014,31.5114002,0.001668,0.000174,39.5493011,24.1942005,0.240605,0.37271,576063,786039,3.5926199,5.29988
46,S-121-026,48.784743,-120.079812,1027.819946,1037.729981,28.5671005,349.4419861,0.0001564,0.119892,20.9745998,23.3225002,0.411247,0.526864,787004,738122,4.3599901,4.9356799
47,S-113-024,48.680208,-120.124652,775.2680054,763.4660034,283.6870117,268.6589966,0.640169,0.759834,28.9733009,21.4638004,0.891945,0.890454,822159,969441,8.3990498,7.9456
48,S-112-016,48.61094,-120.070398,1043.209961,1038.959961,198.8950043,297.446991,0.990674,0.521969,7.04177,8.9774704,0.741913,0.723608,1138190,1015950,7.2842698,12.4319
49,S-111-011,48.700599,-120.105903,927.117981,926.8070068,35.6682014,17.3339005,0.0024454,0.0121709,32.1166,24.4442005,0.293227,0.408647,678136,757072,3.86689,5.7990799
50,S-111-009,48.789522,-120.071206,1021.429993,1017.98999,12.4514999,0.0263904,0.0232749,0.0668891,9.7507696,8.1537905,0.561352,0.598042,926974,944052,9.7370701,6.0373101
51,S-000-001,48.727348,-120.129835,749.3969727,757.6149902,205.7070007,247.0610046,0.998612,0.89885,7.3124499,23.4183006,0.74382,0.921512,1065060,1018680,10.4379997,5.8473802
